P%,GF/GP,GA/GP,Net PP%,Net PK%,Shots/GP,SA/GP,WinStanleyCup
0.663,5.3,3.94,27.2,83.1,33.3,32.4,0
0.646,3.12,2.63,14.9,86.9,31.8,30.1,0
0.631,3.64,2.62,15.9,83.8,31.6,29,0
0.646,2.99,2.34,15,90.3,30,25.4,1
0.656,4.01,3.08,17.8,88.4,32.9,31.8,0
0.64,3.12,2.9,19.3,81.8,29,31.9,1
0.64,2.65,2.4,15.2,88.1,29.3,29.2,0
0.64,3.29,2.8,22.8,83.1,32.2,33.9,0
0.656,4.96,3.81,25.6,85.2,33.3,29.7,0
0.64,3.49,2.63,14.9,88.8,32.3,30.2,0
0.64,2.96,2.54,21.1,81.8,34.5,28.9,0
0.64,3.26,2.93,17.5,85.4,28.9,30.9,0
0.64,3.02,2.39,18.1,87.7,31.3,24.7,0
0.656,3.88,3.13,14.9,86.7,31.9,29.3,0
0.656,3.88,2.93,23,85.5,27.9,24.1,0
0.64,2.68,2.4,15.9,87.9,29.6,29.6,0
0.64,2.89,2.18,18.2,88.9,30.4,23.6,0
0.656,3.7,2.5,20.8,85.9,32.9,25.5,0
0.656,3.6,2.69,20.9,89,31,27.9,0
0.64,3.06,2.37,17.1,83.8,29.1,28.3,0
0.65,4.46,3.36,19.3,86.6,30.3,33.4,0
0.65,4.2,3.26,21.9,86.1,30,26.2,0
0.634,3.34,3.02,18.6,80.8,30.4,31.5,0
0.634,3.07,2.41,11.8,87,29.7,25.3,0
0.634,2.94,2.43,16.5,88.7,33.2,29.7,1
0.634,2.83,2.5,20,85.7,27.6,30.8,0
0.634,2.74,2.24,16.8,88.6,29.6,28.8,0
0.634,3.13,2.89,19.9,84,33.6,30.7,0
0.634,3.98,2.93,15.8,88.6,32.2,28.9,1
0.634,2.76,2.46,14.3,82.5,31.9,28.3,0
0.634,3.13,2.63,23.3,84.8,29.1,31.6,0
0.619,4.18,3.57,18.3,85.4,30,30.3,0
0.65,4.23,3.35,25.2,77.4,31.8,31.1,0
0.634,3.17,2.55,17.6,83.6,32.7,28.6,0
0.634,3.22,2.54,18.3,87.2,29.1,26.6,0
0.634,2.82,2.22,10.8,89.8,31.6,26.3,0
0.634,2.67,2.23,14,88.1,28,28.9,0
0.634,2.55,2.29,11.7,85.7,30.5,27.8,0
0.628,3.27,2.66,19.1,84.4,30.9,29.5,0
0.644,3.94,3.21,17.7,85.9,29.9,26.8,0
0.628,2.63,2.27,16.9,85.8,30,27,0
0.628,2.72,2.33,14.1,82.7,28.8,30.9,0
0.628,2.96,2.52,20.8,82.5,31.1,29.5,0
0.628,3.17,2.74,17,83.7,32.2,28.4,0
0.628,2.83,2.44,15.1,81.3,28.8,29.5,0
0.628,2.85,2.52,21.4,84.6,30.5,30.8,0
0.628,2.72,2.41,17,83.1,30,29.6,0
0.613,4.39,3.33,22.7,85.5,32.9,28.9,0
0.628,2.62,2.29,21.9,89.7,30.3,27.5,0
0.628,2.94,2.85,15.8,84.1,31.8,28.7,0
0.628,2.98,2.3,14.3,86.8,32.9,32.7,1
0.628,2.63,2.35,16.7,85.8,28,27.6,0
0.628,2.95,2.49,18,85.5,27.5,26.4,0
0.644,4.15,2.9,21.4,84.6,33.9,26.4,0
0.628,3.44,2.54,18,88.6,30.9,25.9,0
0.628,3.06,2.48,16.8,90.4,33.1,25.6,1
0.628,3.34,2.65,12.4,88.9,32.2,25.7,0
0.644,3.73,2.98,11.6,85.6,30,28.8,0
0.628,3.05,2.39,15.8,88.6,30.9,25.8,1
0.628,2.91,2.18,11.6,88,30.5,25.2,0
0.628,3.04,2.38,16.9,89.2,30.4,23.6,0
0.622,3.17,2.43,16.8,86.5,32.4,29.8,0
0.622,4.41,3.46,23.1,87.2,32.3,34.6,0
0.622,2.72,2.34,18.7,83.2,32,27.5,0
0.622,2.63,2.5,12.4,95.4,27.5,26.8,0
0.607,3.88,3.33,15.4,83.8,31.8,30,1
0.622,2.68,2.27,14.9,84.8,33.9,30.2,1
0.622,2.72,2.34,18.7,83.2,32,27.5,0
0.607,3.88,3.33,15.4,83.8,31.8,30,1
0.622,2.93,2.59,17.7,82.6,27.7,30.8,0
0.622,2.4,2.24,14.7,85.1,27.3,28,0
0.638,4.25,3.18,15.9,85.1,30.1,30.2,0
0.622,2.77,2.37,13.9,88.9,27.7,27.7,0
0.622,2.72,2.52,18.9,86.9,33.4,29.4,0
0.622,2.57,2.24,13.1,92.2,25.6,26.6,0
0.622,3.2,2.3,19.4,85.3,29.5,24.9,0
0.631,3.85,2.83,15.8,89.1,31.7,24.4,0
0.616,2.88,2.68,18.5,88,29.9,29.8,0
0.616,3.04,2.87,14.7,86.2,32.8,28.7,0
0.616,2.99,2.73,17.6,82.6,33.8,28.3,0
0.601,4.12,3.31,14.9,82.5,31.7,29.4,0
0.616,2.84,2.74,16.4,82.8,29.2,29.3,0
0.616,2.84,2.62,16.4,79.4,28.5,30.4,0
0.631,4.03,3,21.7,79.1,31.9,25.8,0
0.616,2.82,2.57,18.9,81.6,29.1,27.6,0
0.631,3.61,2.9,22.7,84.8,32.6,26.8,0
0.616,2.83,2.55,15.6,84.4,29.8,29.2,0
0.616,3.52,3.15,19.9,84.6,33,28.3,0
0.616,2.89,2.43,23.6,82.7,29.5,28.9,0
0.616,3.05,2.79,17.9,83.8,30.2,31.3,0
0.616,2.94,2.82,14.1,81.1,31.5,28.6,0
0.616,3.21,3.09,16.7,83.2,31.1,28.9,0
0.616,2.82,2.55,15.9,86.9,30.2,33.1,0
0.601,3.56,3.39,16.1,83.5,32.5,31.9,0
0.616,2.88,2.45,12,91.1,31.7,25.1,0
0.616,2.87,2.37,12.8,87.4,29,26.6,0
0.616,2.79,2.27,19.8,85.3,29.4,25.5,0
0.61,3.29,3.02,25,82.3,34.4,31.1,0
0.61,2.65,2.7,14.3,79.1,30.6,29.2,0
0.61,2.88,2.59,9.8,85.3,32.7,30,0
0.625,3.88,3.06,17.3,87.7,30.2,30.7,0
0.61,2.55,2.45,14.3,87.2,28.4,31,0
0.625,4.3,3.29,21.6,85.7,32.6,27.5,0
0.61,2.77,2.41,14.6,88,30.8,27.6,0
0.61,2.41,2.05,13,84.8,31.6,26.2,1
0.595,4.24,3.27,17.4,86.7,35.6,27.4,0
0.61,3.49,3.04,17.5,82.4,33.4,33.1,0
0.61,2.77,2.57,15.7,87.5,29.4,30.4,0
0.61,2.82,2.45,16.6,88,31.6,31.4,0
0.61,3.01,2.76,19.5,88.4,33,30.3,0
0.61,2.96,2.6,17.4,83.3,28.5,29.2,0
0.61,3,2.71,16.2,85.8,26.4,29.1,0
0.714,3.24,2.39,22.1,86.6,32.1,30,0
0.625,3.74,3.3,18.8,85.6,31.4,28,0
0.61,3.3,2.9,18,85.1,33.3,33.3,0
0.61,3.05,2.57,16.8,84.6,29.9,28.8,0
0.61,2.93,2.52,13.1,86,29.9,26.1,0
0.61,3.04,2.52,13.8,87.2,28.5,24.9,0
0.625,3.95,3.38,20,76.8,28.1,24.8,0
0.61,2.6,2,14.7,88.4,29.7,24.4,0
0.61,2.82,2.57,21.1,81.9,29.6,28.3,0
0.61,2.88,2.41,16.5,85.7,29.4,28.4,0
0.604,3.29,2.96,22,83.2,31.2,33.4,0
0.604,2.87,2.84,21.1,83.6,28.5,32.3,0
0.604,2.84,2.63,19.2,85.9,28.4,28.4,0
0.604,2.96,2.7,14.6,84.9,34.4,28.6,0
0.604,2.67,2.44,14.2,84,29.9,27.7,0
0.604,2.41,2.35,13.4,84.7,28.8,27.5,0
0.604,2.98,2.68,18.1,83.6,31.8,28.6,1
0.604,2.59,2.06,16,89.2,27.5,26.5,0
0.604,3.15,2.84,13.6,84.7,29,30.3,1
0.604,3.17,2.83,22.2,87,29.8,32.5,0
0.604,3.02,2.43,14.1,89.8,27.2,28.5,0
0.619,4.54,3.6,19.2,85.2,29.3,29.6,1
0.604,2.6,2.32,14.5,86.8,28.8,30.6,0
0.589,3.43,2.87,18.7,85,30.4,29,0
0.604,3.23,2.87,16,83.2,30.3,26.6,0
0.604,2.83,2.54,13.9,85.2,31,32.1,0
0.604,2.72,2.49,16,85.1,29.7,28.7,0
0.619,4.21,3.63,22.7,80.7,27.9,30.7,0
0.604,2.76,2.68,13.8,80.1,30.3,32.6,0
0.619,4.35,3.31,26.1,82.2,34.4,25.3,0
0.604,3.09,2.71,18.7,84.6,28.1,25,0
0.619,4.09,3.13,20.6,86.6,31,27.9,0
0.598,3.12,2.82,12.7,89,31.6,29.5,0
0.598,2.89,2.52,20,83.1,30.4,27.4,0
0.598,2.55,2.39,14,87,28.8,27.9,0
0.598,3.06,3,12.9,85.1,32.2,29.8,0
0.598,2.66,2.24,14.8,89.8,26.9,26.8,0
0.598,2.89,2.46,18.8,86.9,31,30.9,0
0.598,3.12,2.49,15.8,89.9,26.9,24.1,0
0.613,3.58,3.1,20.1,85.5,30.2,31.6,0
0.613,4.13,3.44,18.7,87.5,31,28.4,0
0.598,2.68,2.56,16,86.1,27,30.1,0
0.613,4.38,3.63,17.7,81,36.8,28.7,0
0.598,2.91,2.5,15.7,85.5,28,27.8,0
0.598,2.88,2.54,15.6,89.4,26.3,29.5,0
0.598,2.51,2.56,15.8,82.5,30,30.1,0
0.583,3.33,2.89,17.2,83.9,30.1,30.4,0
0.598,3.06,2.71,15.4,85.3,31.5,29.6,0
0.598,2.98,2.55,14.8,86.1,26.8,29.6,0
0.598,2.65,2.49,15,87,31.6,29.3,0
0.598,2.77,2.29,15.5,86.5,29,22.5,0
0.613,4,3.2,16.8,85.7,31,28,0
0.598,2.43,2.41,14.7,80.4,26.6,27.7,0
0.598,3.04,2.88,16.9,77.1,32.1,29.9,0
0.613,4.38,3.58,19.9,77.4,32.9,29.1,0
0.598,2.78,2.29,12.5,89.6,26.5,26.9,0
0.591,2.73,2.41,13.3,86.8,29.3,28.9,0
0.591,3.27,2.82,12.8,82.5,28.3,28.8,0
0.591,2.89,2.49,15.8,89.3,26.7,26.1,0
0.591,2.88,2.76,14.1,78,33.7,31.3,0
0.591,2.89,2.6,17.7,83.9,27.5,29.2,0
0.591,2.88,2.7,16.3,83.1,32.6,29.5,0
0.591,2.96,2.93,19.1,86.4,31.7,31.9,0
0.591,3.07,2.68,21.7,81.6,32.2,28.7,0
0.591,2.91,2.94,14,82.1,29.7,31.5,0
0.577,3.83,3.36,17,86.2,31.4,29.5,0
0.591,2.5,2.32,14.9,85.7,31.5,25.9,0
0.577,3.44,3,19.4,89.2,35.5,25.2,0
0.577,3.6,3.05,19,84.1,31.4,27.5,0
0.591,2.56,2.37,11.2,88,29.6,31.6,0
0.591,2.85,2.34,9.7,89.1,29.8,26.1,0
0.577,3.4,3.15,14.8,86,30.5,30.8,0
0.591,2.37,2.13,12.5,87.5,26.8,23.2,0
0.606,3.91,3.11,25.5,82.6,33.1,29,0
0.585,2.61,2.32,15.5,89.7,33.2,29.4,0
0.585,2.6,2.51,17.6,85.9,31.7,31,0
0.585,2.99,2.96,16.9,84.6,34.4,34.6,0
0.585,3,2.88,11.5,83,34.1,31.1,0
0.6,4.04,3.56,19.9,85.4,30.2,25.7,0
0.585,2.93,2.78,14.7,83.7,32.8,30.7,0
0.6,4.48,4.15,18.5,81.5,31.9,31.7,0
0.585,3.11,2.7,17,84.1,27.3,30.5,0
0.585,2.67,2.5,19.6,78.2,33.8,28.6,0
0.6,3.78,2.83,24.8,86.7,30.4,30,1
0.585,2.84,2.45,17.2,85.4,26.7,27.8,0
0.585,2.91,2.68,13.5,90.4,28.3,27.9,0
0.6,3.56,3.13,17.8,83.3,33.4,28.7,0
0.585,3.43,3.12,17.3,82.5,29.2,29.2,0
0.585,2.63,2.52,17.2,82.7,27.7,25.3,0
0.585,2.55,2.45,16.4,85.3,31,29.9,0
0.585,2.84,2.57,19.3,85.7,28.6,27.7,0
0.585,3.32,2.89,17.3,83.2,32.6,30.2,0
0.585,2.57,2.56,16.1,81.7,31,30.7,0
0.571,3.37,2.95,17.5,84.6,31.2,30.2,0
0.585,2.73,2.6,18.9,84.1,30.6,27.3,0
0.6,4.01,3.63,20.8,85.5,32.1,31.6,0
0.594,3.98,3.61,20.6,81.7,31.6,30.3,0
0.579,2.73,2.63,13.1,82.1,28.6,27.3,0
0.579,2.83,2.55,19.3,89.4,33.2,26.8,0
0.579,3.26,3.01,18.7,82.2,31.7,29,0
0.579,2.89,2.78,15.2,82.8,27.9,32.1,0
0.565,3.36,2.6,20.8,90.3,28.2,29.3,0
0.579,3.11,2.88,17.6,85.9,29.7,33.3,0
0.579,3.41,3.06,16.3,87,30,29.5,0
0.579,2.44,2.59,9.8,90.6,32.4,29.7,0
0.579,2.99,2.77,20.3,86.6,28.8,31.8,0
0.579,2.95,2.35,15.5,88.5,28.7,25.4,0
0.579,2.71,2.76,13.1,83.8,27.7,30.5,0
0.579,2.41,2.17,12.8,89,25.4,28.5,0
0.579,2.5,2.28,13.8,84.5,29.8,23.2,0
0.579,3.04,2.95,17.1,87.2,29.8,25.5,0
0.579,2.98,2.56,14.2,89.7,31.5,25.2,0
0.579,2.65,2.34,11.6,88,27.6,26.5,0
0.579,3.05,2.85,20.9,84.9,31.9,32.6,0
0.579,2.66,2.4,18.2,83.9,30.9,27,0
0.579,2.29,2.07,16.3,90.1,30.6,27.4,1
0.579,2.78,2.56,13.8,85.4,26.6,28.6,0
0.594,3.51,3.1,24.6,83.6,31.7,25.6,0
0.579,2.61,2.32,19,88,25.7,25,0
0.579,2.48,2.35,14.7,89.8,27.4,29,0
0.579,2.82,2.5,14.6,89,27.9,29.5,0
0.573,2.71,2.67,18.3,84.5,29.1,28.7,0
0.573,2.72,2.71,11.8,81.8,32.6,29.7,0
0.588,3.75,3.14,14.4,86.8,32.4,27.2,0
0.573,2.68,2.84,15.5,86.2,29.7,28.5,0
0.573,3.15,2.95,16.5,85.8,30.1,30,0
0.573,2.9,2.77,16.5,82,31,27.5,0
0.588,4.5,3.48,18.8,83.8,28.6,28.2,0
0.573,3.1,2.57,16.1,86,28.4,25.4,0
0.662,3.14,2.68,21.3,81.8,30.7,29.6,0
0.573,2.84,2.57,17,86.5,31.5,28.4,0
0.573,2.76,2.73,14.5,83.8,28.2,28.5,0
0.573,2.84,2.77,16,87.3,30.4,30.6,0
0.573,2.8,2.73,19.9,83,29.9,30.4,0
0.573,2.44,2.15,14.6,87.9,27.4,25.5,0
0.573,2.9,2.68,16.6,85.9,31.2,30.1,0
0.573,2.94,2.8,16.7,83.7,30.5,28.5,0
0.588,3.86,3.28,21.5,83.6,30.2,24.7,0
0.573,2.51,2.62,15.7,81.3,28.5,30.5,0
0.573,2.91,2.9,12,84.1,30.2,31.9,0
0.588,4.54,3.78,18.2,78,34.9,31.2,0
0.573,3.33,2.68,15.7,88.4,27.3,28.5,0
0.573,2.96,2.54,15.1,88,30.1,25.9,0
0.588,3.83,3.54,18,82.5,30.6,28.7,0
0.573,2.99,2.78,13.5,83.4,29.5,27.9,0
0.573,2.4,2.63,16.4,81.2,29.7,30.5,0
0.573,3.09,2.4,15.8,89.6,33.2,25.3,1
0.588,4.33,3.6,22,85.9,33,32.9,0
0.567,2.73,2.38,15.2,87.9,29.9,29.4,0
0.567,2.96,3.16,15.5,83,29.5,27.2,0
0.554,3.87,3.4,20,85.2,32.2,28.4,0
0.581,3.59,3.38,18,82,30.1,28,0
0.567,2.55,2.44,20.1,84.5,30.7,31.6,0
0.567,2.76,2.61,16.4,85.4,29.6,30.8,0
0.567,2.99,2.46,14.5,91.3,32,27,0
0.567,3,2.78,16,85.7,34.3,29.3,0
0.567,2.94,2.98,17.9,83.2,30.1,30.6,0
0.581,3.93,3.8,21.4,81.6,31.9,31.6,0
0.567,2.88,2.78,18.8,85.6,32,30.4,0
0.567,2.54,2.34,15.4,84.1,27.7,28.6,0
0.567,2.95,2.93,16.3,85.1,30,31.7,0
0.581,4.03,3.36,16.7,88.3,28.2,30.2,0
0.581,3.34,2.59,18.2,82.5,30.5,27.8,0
0.581,3.6,2.93,13.8,82,31.1,28.8,0
0.567,2.55,2.67,17.3,82.3,29.7,29.7,0
0.567,2.82,2.72,13.6,84.9,29.4,34.7,0
0.581,3.84,3.41,18.2,80.7,29.3,29,0
0.567,2.65,2.7,16,84.1,30,29.3,0
0.567,2.96,2.71,13.8,87.2,26.2,26.1,0
0.567,2.82,2.39,15,85.3,29.9,22.9,0
0.567,2.67,2.56,16.6,84.5,29.2,28,0
0.575,4.13,3.61,18.9,84.2,32.4,29.9,0
0.657,3.47,2.77,19.8,84,31.1,30.9,1
0.561,3,3.12,14.4,84.4,31.6,27.6,0
0.561,3.05,3,15.7,80,32.5,28.9,0
0.561,2.82,2.71,15.2,83.3,31.2,29.8,0
0.657,3.37,2.71,16.6,85.2,32.2,31.3,0
0.561,2.66,2.76,12.7,82.7,28,30.2,0
0.561,3.07,3.06,16.4,83,28.8,30.1,0
0.575,3.39,2.96,18.7,83.2,29.7,30.4,0
0.561,3.1,2.85,14.7,86,28.8,27.9,0
0.561,2.96,2.88,15.6,84.5,31.4,32,0
0.575,3.81,3.24,18.8,81.8,31.2,27.6,0
0.575,3.46,3.01,19.1,85.3,28,27.1,0
0.561,3.13,3.13,16.6,84.3,31.2,29.9,0
0.561,2.77,2.77,18.2,86.6,27.7,28.5,0
0.561,2.68,2.72,9,84.4,28.9,27.8,0
0.561,2.89,2.54,12,88.2,25.5,33.3,0
0.561,2.93,2.87,15.5,83.4,30,32.6,0
0.561,2.67,2.46,14.6,93.1,27.1,28,0
0.561,2.73,2.68,16,83.3,27.1,29.9,0
0.575,3.95,3.83,18.3,78.5,28.6,29.5,0
