P%,GF/GP,GA/GP,Net PP%,Net PK%,Shots/GP,SA/GP,WinStanleyCup
0.543,2.7,2.45,9.4,87,29.1,28.8,0
0.537,2.43,2.66,16.6,84.8,31.5,29.6,0
0.55,4.28,3.81,19.9,82.6,30.2,34,1
0.55,3.95,3.68,20.3,83.1,33,27.4,0
0.537,2.83,2.71,18.9,84.8,31.6,28.6,0
0.537,2.68,3.01,13.7,86.6,26.3,31.4,0
0.55,3.49,3.39,14.3,86.1,30.7,27.5,0
0.537,2.85,2.82,14.3,86.5,28,28.6,0
0.537,2.94,3.02,13.2,87.6,31.2,28.5,0
0.537,2.52,2.78,13.2,85.2,29,29.4,0
0.55,3.85,3.34,20.4,79.3,30.2,31.6,0
0.537,2.52,2.51,15.2,84.8,27.5,28.9,0
0.537,2.59,2.82,16.3,81.4,31.5,28.5,0
0.524,4.02,4.05,17,81.5,34,34.4,0
0.537,2.56,2.66,18.8,84.2,28.6,32.1,0
0.524,3.3,3.13,15,83.6,31,25.9,0
0.55,4.31,4.3,24.5,82.3,31.7,32.6,0
0.537,2.9,3.02,17.5,85.9,31,29.6,0
0.537,2.59,2.74,14.7,88.9,27,26.9,0
0.537,2.61,2.84,19.3,81.1,29,28.9,0
0.537,2.8,2.98,16.2,80.6,30.8,31.2,0
0.537,2.94,2.88,12.4,84.7,26.1,28.7,0
0.537,2.79,3.15,14.8,82.5,32.8,34.7,0
0.55,3.61,3.2,18.9,84.7,31.4,26.8,0
0.55,3.89,3.16,21.6,83.6,31.4,28.6,0
0.537,2.77,3.04,14.6,84.9,28.8,26.7,0
0.55,3.5,3.29,19.1,82.2,30,30,0
0.537,2.4,2.38,17.8,89.8,26.8,25.5,0
0.537,2.76,2.59,14.6,87.8,28.2,28.3,0
0.53,3,3.11,14.8,81.1,29.9,31,0
0.544,4.13,3.5,22.9,81.9,29.4,27.1,1
0.518,3.67,3.56,14.5,83.3,33,29.8,0
0.518,3.99,3.54,19.7,82.7,31,29.4,0
0.518,3.83,3.81,18,82.4,30.7,32.7,0
0.544,4.34,4.36,21.2,81.3,28.5,35.7,0
0.518,3.02,2.86,14.9,86.9,30.3,29.3,0
0.544,4.29,3.85,18.4,84.1,31.8,31.5,1
0.544,4.06,3.91,24.8,76.2,34,30,0
0.53,2.77,2.74,10.9,86.7,26.8,30.3,0
0.53,2.6,2.49,16.2,81.4,29,28.6,0
0.53,2.67,2.61,16,85.9,29.6,29.9,0
0.544,3.61,3.24,14.5,85.8,31.2,28.6,0
0.53,2.88,2.78,18.3,84.2,30.2,27.7,0
0.53,2.87,2.54,16.1,87.8,27.8,26,0
0.544,3.95,3.4,23,80.7,29,24.8,0
0.53,2.89,2.55,18.9,89.7,30.1,22.8,0
0.544,3.21,2.95,15.2,86.5,33.1,25.4,0
0.53,2.99,2.89,14.8,85.3,32.1,28.3,0
0.53,2.59,2.8,15.2,89.1,30.4,28.3,0
0.53,2.52,2.55,13.6,88.8,25.5,31.7,0
0.544,3.64,3.29,18.4,81.2,32.2,29.9,0
0.53,2.74,2.61,15.4,87.9,27.4,28.7,0
0.544,3.01,3.13,20.3,82.8,30.2,31.1,0
0.544,3.43,3.15,20.4,81.7,29.2,26.7,0
0.623,3.2,2.84,17.5,85.3,31.9,29.7,0
0.538,4.31,3.9,22.6,85.8,30.2,32.4,0
0.524,2.55,2.68,12.8,92,30.7,30.8,0
0.538,4.39,4.36,22.9,81.8,32.4,34.9,0
0.524,2.48,2.78,15.8,85.1,26.2,32,0
0.538,4.39,4.36,22.9,81.8,32.4,34.9,0
0.524,2.43,2.45,17.8,86.6,31.1,25.9,0
0.512,3.99,3.54,16.7,86.5,31.8,31.9,0
0.538,3.85,3.55,23.4,84.9,29.8,28.7,0
0.524,3.15,2.82,20.2,84.3,30.8,31.6,0
0.538,3.56,3.48,14.8,84.2,28.4,29.5,0
0.538,3.74,3.6,18.9,78.4,31.1,29.8,0
0.538,3.89,3.6,21.4,77.7,30.8,27.3,0
0.524,2.62,2.46,12.5,88.1,32.2,26.5,0
0.524,3.22,3.33,21.9,82.6,33,30.7,0
0.524,2.99,3.04,16.3,83.5,33.3,29.3,0
0.524,2.39,2.7,14.7,85.8,29.9,27.6,0
0.524,2.56,2.46,9.4,86.7,26.1,29.3,0
0.506,3.32,3.29,16.3,84.7,31.3,27.2,0
0.531,3.76,3.45,18.2,85.5,30.1,29.6,0
0.518,2.57,2.68,18.2,83.4,31.1,33.6,0
0.531,3.65,3.65,16.7,84.2,31,30.6,0
0.518,2.8,2.94,14.6,82.5,28.4,32.8,0
0.531,4.09,3.81,21.1,82.1,32,33.6,0
0.518,2.78,2.98,14.7,78.4,28.1,32.5,0
0.531,3.51,3.11,16.8,83,30.8,27.8,0
0.531,3.44,3.35,17.6,84.5,28.3,26.6,0
0.518,2.6,2.99,13.5,79.3,28.8,31,0
0.531,3.73,3.63,16.7,87.1,30.4,29.7,0
0.531,3.54,3.81,14.4,80,29.9,32.2,0
0.518,2.88,3.07,12.4,83.3,33.2,34.8,0
0.518,2.68,2.7,13.4,86.8,28.1,28.5,0
0.506,3.36,3.31,18.4,87,29,33.8,0
0.518,2.99,2.84,13.5,84.2,28.4,32.8,0
0.531,3.49,3.34,21.7,80.7,29.8,30,0
0.531,3.51,3.49,19.9,80,32.3,30.9,0
0.531,3.71,3.31,21.1,82.3,30.6,31.9,0
0.518,2.78,2.93,16.7,82.8,28,28.7,0
0.518,2.6,2.49,7.7,87.3,27.2,26.9,0
0.525,4.15,3.78,20,83.7,29.6,28.7,0
0.512,2.76,2.59,15.5,89.9,26.8,30,0
0.512,2.83,3.39,10.8,79.9,27.2,30.5,0
0.512,2.22,2.46,16.8,84.9,24.4,28.6,0
0.512,3.48,3.41,18.3,84.3,29.4,34.3,0
0.512,2.71,3.07,15.1,81,27.9,35.9,0
0.512,2.61,2.91,14.9,84,27.6,29.5,0
0.525,4.06,3.83,15.8,88.8,27.8,30.4,0
0.512,2.65,2.63,14.9,85.4,26.4,26.1,0
0.512,2.63,2.96,13.4,84.4,33.6,31.1,0
0.512,2.67,2.82,13.1,84.9,30.7,30.1,0
0.512,2.7,2.95,14.7,81.2,30.1,30.1,0
0.512,3.26,3.55,17.2,75.3,32.5,34.8,0
0.525,3.38,3.44,15.5,82.1,33.3,29.2,0
0.5,3.36,3.14,17.6,84.7,29.9,30.5,0
0.525,3.59,3.7,16.3,84.4,30.2,33.3,0
0.512,2.59,2.72,21.1,78.2,29.4,30.3,0
0.519,3.64,3.74,17.3,80.7,27.9,29.7,0
0.506,2.93,2.96,14.2,88.6,30.1,30.7,0
0.506,2.55,2.74,15,84,30.5,30.7,0
0.519,3.86,3.74,20,80.2,30,33.1,0
0.519,3.78,3.64,17.7,80,31.4,32.3,0
0.506,2.56,2.84,18.7,83.8,31.3,29.5,0
0.519,3.69,3.49,19.1,83.5,29.2,29.5,0
0.585,3.14,3.03,24.5,85.9,29.6,32,0
0.519,3.69,3.6,15.4,83.2,30.8,30.7,0
0.506,2.5,2.76,11.7,86.3,31.2,30.9,0
0.519,3.49,3.33,15.9,87.7,29.7,33.8,0
0.506,2.88,2.91,12.8,86.1,29.5,27.4,0
0.494,3.8,3.8,15.3,81,29.8,31.8,0
0.506,2.33,2.63,13.6,85.4,30.8,28.4,0
0.506,2.6,2.82,18,83.8,29.3,28.5,0
0.506,2.74,3.09,15.9,79.1,33.9,28.9,0
0.506,2.78,3.12,14.9,79.3,31,29.3,0
0.506,2.73,3.06,14.3,79.2,28.9,28.1,0
0.506,2.8,3.05,14.9,85,29.4,33.1,0
0.506,2.62,2.51,20.1,86.1,28.4,31.7,0
0.506,2.73,2.82,13.8,86.4,29.6,28.3,0
0.506,2.39,2.37,14.2,89.1,26,27.6,0
0.519,3.53,3.36,20.4,83.2,28.2,30.6,0
0.506,2.35,2.44,10.4,86.5,29.3,24.9,0
0.506,2.65,2.77,14.2,80.4,28.7,27.5,0
0.494,2.77,2.77,12.2,84.6,27.3,33.4,0
0.519,2.88,2.75,19.5,85.8,29.2,30.9,0
0.506,2.29,2.23,11.5,86.9,24.2,29.1,0
0.506,2.77,2.89,13.6,83.2,26.7,28,0
0.5,2.59,2.93,14.7,83,28.6,32.3,0
0.513,3.69,3.7,18.3,82.3,30,28,0
0.5,2.63,2.84,12,85,30.5,29.4,0
0.594,2.58,2.52,19.1,82,30.6,31.6,0
0.5,2.94,3.41,12.4,80.2,31.5,32.5,0
0.513,3.88,3.84,14.9,80.5,34,30.7,0
0.513,3.69,3.71,14.5,80.9,27.7,31.1,0
0.513,3.75,3.54,20.4,81.8,31.8,30.5,0
0.488,3.24,3.49,15.3,84.2,31.8,29.6,0
0.513,3.79,3.59,19.3,84.9,30,27.2,0
0.5,2.73,2.77,13.3,86.3,27.7,27.1,0
0.5,2.6,2.44,11.7,88.8,28,25.9,0
0.513,3.49,3.51,22.4,80.1,31,27.8,0
0.513,4.24,4.08,20,85,31.9,30.3,0
0.513,3.89,3.93,18.2,84.6,32.1,32.9,0
0.5,2.59,2.89,15.3,85.3,30.5,32.4,0
0.488,3,3.15,13,80.3,25,28.4,0
0.513,4.45,4.31,23.9,83.4,28.8,29.6,0
0.494,2.95,3.27,15.7,82.7,28.3,30.2,0
0.596,3.19,2.84,20.4,88.1,33.3,29.3,0
0.494,2.09,2.52,11,84.7,28.6,26.2,0
0.506,3.23,3.23,14.4,90.1,29.6,26.4,0
0.579,3.39,3.17,19.5,80.3,32.9,31.9,0
0.506,3.99,3.95,18.2,79.9,31.3,31.1,0
0.494,3.07,3.01,14.8,85.2,30.7,31.2,0
0.494,2.02,2.65,13.6,83.9,26.5,31.4,0
0.494,2.43,2.62,16.5,85.3,29.5,30.6,0
0.494,2.5,2.82,14,88.6,32.2,31.6,0
0.494,2.67,3.02,13.9,83.9,29.7,31.7,0
0.494,2.98,3.49,16.7,76.6,31.7,30.3,0
0.494,2.72,2.56,11.8,85.6,30.4,29.5,0
0.494,2.54,3.02,9.5,81.6,26.9,28.9,0
0.506,3.34,3.15,22.5,80.3,30.5,31.5,0
0.494,2.56,3.05,10.3,82.2,30.6,29.8,0
0.506,3.14,3.05,19.5,85.8,29.1,31.2,0
0.579,2.57,2.61,13.8,83.4,32.5,29.9,0
0.506,3.65,3.48,16.3,87.2,30.1,30.4,0
0.494,2.5,2.65,12.9,83.3,28.6,27,0
0.5,4.21,4.48,18.4,82.1,30.4,35,0
0.5,3.4,3.4,16.3,82.7,27.6,30.4,0
0.563,3,2.83,19,81,31.3,32.6,0
0.5,3.7,3.64,17.4,84.1,30,29.9,0
0.5,3.84,3.56,24.3,85.2,29.9,30.6,0
0.488,2.77,3.15,13.2,81.9,29.2,31.9,0
0.5,3.83,3.59,20.4,79.3,28.5,29.8,0
0.488,2.77,3.16,16.1,79.3,28.3,30.8,0
0.488,3.18,3.57,18.8,75.3,31.4,35.6,0
0.488,2.76,3.06,14.5,82.8,29.3,31.4,0
0.588,2.78,2.79,14.3,84.1,29.6,31.2,0
0.488,2.39,3.02,12.3,81.6,27.7,33.2,0
0.488,2.62,2.73,13.7,86.2,28.7,28.2,0
0.476,3.5,3.74,17.1,82.9,28.7,31.7,0
0.5,3.65,3.58,21.8,80.1,30.3,29.4,0
0.5,3.91,3.95,18.5,85,28.7,31.4,0
0.5,4.29,4.2,18.5,75.1,28.9,32.5,0
0.488,2.45,2.73,14.8,83.4,27.9,28.9,0
0.488,2.6,3.09,17.5,80.7,28.9,31.4,0
0.5,3.33,3.48,16.7,86.4,27.1,30.6,0
0.488,2.32,2.56,13.5,85.5,29,27.4,0
0.488,3.01,3.07,16.9,85.4,32.6,31.8,0
0.488,2.66,3.2,14.9,79.7,31.5,32.2,0
0.488,2.27,2.44,13,87.3,26.6,28.6,0
0.5,3.99,4.15,19.2,77.1,32.9,32.5,0
0.488,2.67,3.02,14.7,85.3,31.1,29.8,0
0.488,2.39,2.33,12.3,87,26.1,27,0
0.564,3.33,3.14,20.3,80.9,31.1,34,0
0.494,3.74,3.63,16.5,82.2,30.7,29.1,0
0.482,2.5,3.04,13.4,78.5,28.1,31.6,0
0.564,2.91,3.06,16.6,85.2,31.6,32.4,0
0.482,2.3,2.93,10,84.5,29.7,30.3,0
0.482,2.79,3.3,18,78.9,29.2,31.7,0
0.482,2.46,2.76,16.9,84,29.1,28.1,0
0.482,2.61,3.15,15,78.7,30.4,31.9,0
0.482,2.63,3.18,15.2,81.1,30.9,30,0
0.482,2.71,3.17,13.6,75.9,30.5,29.7,0
0.47,3.62,3.67,14.1,83.9,33.3,33.7,0
0.482,2.39,3.06,16.5,82.2,29.4,30.1,0
0.482,2.94,2.93,16.1,82.8,30.1,27.1,0
0.494,3.64,3.74,19.8,79.4,27.8,32.9,0
0.482,2.41,2.98,11.5,82.1,28.5,30.6,0
0.482,2.46,2.83,10.2,85.2,26.1,27.4,0
0.494,3.51,3.66,20.9,83.3,29.3,29.6,0
0.494,3.4,3.3,16.1,81.7,31.2,28,0
0.482,2.61,3.04,15.3,83.5,28.5,30.7,0
0.482,2.45,2.68,13.7,84.3,26.9,27.3,0
0.482,3.39,3.39,13.6,85.7,30.1,30.2,0
0.482,2.52,2.76,10.1,87,27.8,28.6,0
0.476,2.79,3.2,12.4,81.2,33.4,32.1,0
0.476,2.7,3.35,13.6,80.3,30.3,31.1,0
0.488,3.55,3.44,13.4,83.2,30.3,29.1,0
0.565,3.25,3.1,22.5,82.8,31.2,33.3,0
0.476,3.35,3.55,16.8,81.9,29.4,33.7,0
0.488,3.5,3.45,19,80.2,31.8,30,0
0.565,3.3,3.25,19,80.7,32.7,32.3,0
0.565,3.07,3.1,13.7,78.9,33.1,31.3,0
0.476,2.54,2.98,13,78.6,27.6,31,0
0.476,2.85,3.01,12.9,83.2,28.7,32.2,0
0.476,2.59,2.88,13.2,81.9,29.6,29.5,0
0.488,3.25,3.43,18.4,81.2,27.2,28.8,0
0.476,2.56,2.63,12.3,87.7,26.5,24.6,0
0.476,2.48,2.7,13.5,85.5,27.7,26.1,0
0.488,3.44,3.56,17,78.1,29.1,28.1,0
0.476,2.43,2.82,22.8,78.9,30.4,34.3,0
0.476,2.61,2.96,13,88,26.1,29.4,0
0.476,2.8,2.76,12.1,84.2,29.2,27.1,0
0.476,2.95,2.99,12,86.5,25.7,29.2,0
0.488,3.15,3.33,18.3,82.2,28.4,28.4,0
0.488,4.01,3.96,21.6,79.8,28.6,33.1,0
0.476,2.7,3.26,17.6,80.8,29.2,33.8,0
0.476,2.56,2.82,13.9,83.3,30.1,29.6,0
0.476,2.15,2.55,15.6,83.2,24.5,30.7,0
0.476,2.52,2.61,11.6,91.8,28.5,29.7,0
0.488,3.8,3.94,18.9,77.3,32.1,33.8,0
0.476,2.49,2.8,11.4,82.3,28,30,0
0.476,2.56,2.78,10.5,84.6,28.1,28.7,0
0.488,3.93,3.98,20.8,78.4,28.6,30.3,0
0.802,3.1,2.02,13.3,90.8,31.1,26.2,1
0.558,3.16,3.14,18.5,78.6,30.1,30.7,0
0.47,3.13,3.33,14.2,84.3,28.1,30.2,0
0.47,2.79,3.13,14.4,79.8,29.2,29,0
0.481,3.11,3.34,14.1,86.4,31.5,27.3,0
0.47,2.46,2.9,12.9,86.8,26.8,28.6,0
0.47,2.89,3.16,15.6,82.5,30.4,33.7,0
0.47,2.78,3.21,19.1,83.4,31,35.3,0
0.481,3.65,3.88,21.5,81.3,31.4,29.8,0
0.47,2.65,2.77,17.8,87.8,25.4,30.2,0
0.47,2.46,2.85,11.7,81.9,28.4,34.1,0
0.47,2.76,2.85,13.1,85.3,29.2,25.8,0
0.47,3.04,3.37,12.5,82.4,30.2,33.9,0
0.481,3.04,3.06,17.1,81.3,31.5,26.9,0
0.47,2.57,3.12,15.5,80.8,30.1,29,0
0.481,3.63,3.58,16,81.1,30.7,30.3,0
0.47,2.51,2.85,12.1,82.3,25.8,32.7,0
0.475,3.55,3.64,16.8,84.9,32.1,30.3,0
0.463,3.05,3.4,16.5,79.5,28.1,32.7,0
0.463,2.56,3.48,12.9,83.5,28.9,33.5,0
0.475,3.91,3.81,18.4,80.5,30.2,31.1,0
0.463,2.6,3.02,14.1,82.1,29.1,31.1,0
0.452,3.3,3.48,11.4,81.9,28.6,30.6,0
0.463,2.52,3.24,13.3,82.5,25.8,33.9,0
0.475,3.48,3.68,18.6,82.3,28.6,30.3,0
0.475,3.41,3.73,15,82,28.9,29.4,0
0.475,3.84,4.04,15.9,84.3,30.9,32,0
0.463,2.78,3.1,13.4,81.3,34.1,32.9,0
0.475,3.15,3.34,15.4,81.4,28.6,28.7,0
0.463,2.7,3.27,15.7,82.3,32.9,33,0
0.463,2.24,2.6,16.8,86.1,29.7,29.8,0
0.475,3.61,3.76,16.4,79.3,31.1,30.1,0
0.463,2.1,2.55,8.3,84.1,29.2,26.2,0
0.469,3.58,3.69,17.7,84.4,28.7,25.7,0
0.469,3.8,4.09,22.9,79.7,32.4,33.3,0
0.469,4.23,4.21,18.1,79,29.7,31,0
0.457,2.61,2.82,12.7,87,28.9,26.4,0
0.457,2.24,2.55,11.6,89.5,27.7,26.9,0
0.457,2.76,3.12,14.6,88.3,29.7,31.5,0
0.469,3.15,3.41,13.6,84.4,29.1,28.7,0
0.457,2.27,2.91,12.6,82.7,28.2,32.5,0
0.469,3.88,4.21,21.3,79,31.9,31.2,0
0.469,3.79,3.86,23.4,82,30.1,30.8,0
0.469,4.18,4.31,23.6,80.3,29.4,33.4,0
0.457,2.27,2.78,9.5,84.6,28.5,27.1,0
0.457,2.29,2.7,12.9,88.2,27.7,34.5,0
0.451,2.62,3.37,12.4,83.8,27.4,33.7,0
0.451,2.44,2.67,10.6,87.2,26.5,27.6,0
0.463,3.89,4.16,20.9,76.7,31.8,31.6,0
0.529,2.71,2.61,16.8,85.3,31.7,32.4,0
0.463,3.14,3.16,15.6,82.8,30.5,28.3,0
0.451,2.32,2.99,16,85.7,29,31.2,0
0.451,2.52,2.83,17.6,84.1,26.7,30.7,0
0.451,2.65,3.01,11.2,88.4,31.4,28.8,0
0.451,2.73,3.32,14.8,80,29.2,33.7,0
0.451,2.76,3.46,13.5,83.9,26.4,31.6,0
0.463,3.61,3.74,20.2,80.4,32.5,32.3,0
0.463,3.7,3.81,18.6,80.2,30.9,30.9,0
0.463,3.9,3.96,14.4,82.3,30.7,27.8,0
0.463,3.63,3.91,23.9,70.2,29,30.7,0
0.451,2.56,3.21,11.8,76,32.6,29.8,0
0.463,4.1,4.09,20.2,79.2,29.8,29.5,0
0.451,2.78,3.15,12.4,85.6,30.6,32.1,0
0.451,2.23,2.51,12,83.3,28.2,27.5,0
0.445,3.01,3.2,13.4,86.1,28.5,35.5,0
0.445,2.39,2.98,12.6,82.6,27.7,28.6,0
0.445,2.61,2.91,11.6,86.4,31.4,28.5,0
0.456,3.83,4.1,21.7,77.6,31.2,29.4,0
0.445,2.66,3.16,17.4,80.8,30,32.2,0
0.456,3.51,3.6,21.2,79.3,29.5,33.5,0
0.456,4.25,4.68,16.7,78.5,32.3,32.7,0
0.456,2.98,3.45,15.9,81.8,28.9,27,0
0.456,3.78,4.31,20.3,75,32.6,30.7,0
0.445,2.74,3.15,14.9,88.1,29.4,32,0
0.456,3.49,3.5,26.6,84.4,28.1,31.4,0
0.456,3.14,3.79,18.3,76.4,30.7,29.9,0
0.445,2.34,2.43,11.6,88.2,27.8,26.7,0
0.445,2.59,3.1,15.4,81,30.4,31.9,0
0.445,2.66,3,14.2,84.9,29.5,29.8,0
0.456,3.05,3.46,15,79.1,28.1,34.2,0
0.445,2.61,2.91,15.5,82.4,28.1,29.2,0
0.445,2.4,2.88,12.4,80.7,27.2,27.1,0
0.456,3.79,3.9,19.1,77.3,27.4,29.6,0
0.445,2.38,2.9,12.3,85.9,23.8,28,0
0.445,2.56,3.02,13.2,79.5,30.7,27.7,0
0.75,3.38,2.48,22.9,80.8,30,29.2,0
0.439,3.05,3.54,14.6,82.5,28.6,31.4,0
0.514,2.97,3.06,11.5,85,31.8,35.1,0
0.45,3.94,4.36,18.7,79,30.8,32.2,0
0.45,3.98,4.49,16.1,76.6,29,33.6,0
0.45,3.34,3.45,18.5,86.3,29.8,29.1,0
0.439,2.67,3.3,13.8,88.2,30.3,31.6,0
0.45,3.71,3.63,18.3,78.4,30.3,29.5,0
0.45,4.15,4.54,21.6,78.8,32.1,33.2,0
0.439,2.33,2.71,11.2,86.1,30.4,31.8,0
0.439,2.57,2.85,12.6,82.9,28.6,29.5,0
0.45,3.63,3.88,14.2,77.7,32,33.9,0
0.439,2.32,2.67,11.3,87.6,28.6,28,0
0.423,2.73,2.99,10.9,85.1,28.6,31.1,0
0.444,3.66,3.95,17.9,75.9,30.3,30,0
0.433,2.34,2.99,13.1,86.1,26.7,29.7,0
0.433,2.76,3.21,16.4,81.6,28.6,32,0
0.433,2.7,3.24,16.9,84.3,28.7,28.2,0
0.5,2.93,3.1,15.1,81.5,34.1,31.1,0
0.433,2.43,3.16,10,78.3,28.8,31.4,0
0.433,2.38,3.06,10.2,85.3,26.8,29.4,0
0.433,2.23,2.67,17.1,85.8,30.8,27.3,0
0.423,2.67,2.99,9.5,84.8,29.8,27.3,0
0.433,2.59,2.74,12.3,88.8,25.8,28.8,0
0.444,3.63,3.71,15.4,84.5,30.9,31.8,0
0.433,2.52,3.15,18.8,76.8,32.8,32.3,0
0.433,2.56,3,9.1,88.5,26.3,26.7,0
0.433,2.32,2.84,12.6,81.5,25.4,30.2,0
0.444,4.03,4.59,24.1,79.6,34.3,33.6,0
0.729,3.75,2.44,20.9,88.8,32.7,25.1,0
0.438,3.58,3.99,13.9,83.2,30.1,32.4,0
0.438,3.58,3.99,13.9,83.2,30.1,32.4,0
0.427,2.43,2.95,15.6,83.1,29.1,31.1,0
0.438,3.98,4.26,21.1,75.7,30.9,31.1,0
0.427,2.33,3.15,13.2,80.4,27.8,34.1,0
0.438,3.7,3.93,17.9,78,30.7,32.6,0
0.427,2.51,3.06,12.8,80.9,29.9,32.2,0
0.427,2.46,3.02,11.9,82.2,26.2,29.3,0
0.427,2.93,3.05,11.3,87.8,26.7,30.3,0
0.427,2.8,3.66,11,81.6,29.8,35.1,0
0.427,2.85,3.35,13,83.1,28,33.3,0
0.438,3.6,4.04,12.7,80.1,28.3,31.1,0
0.427,2.51,2.83,15.4,83.7,26.2,28,0
0.427,2.43,2.93,9.9,88,27,30.5,0
0.427,2.2,2.94,12.8,81.9,27.8,31.4,0
0.438,3.23,3.48,17.8,85.1,31.4,32.4,0
0.438,3.2,3.51,13.4,76.5,29.1,29.2,0
0.438,3.58,3.96,15.2,76.4,29.3,31.6,0
0.427,2.15,2.89,11.5,83.4,27.2,33.2,0
0.421,2.32,3.09,13.2,81.1,28.8,29,0
0.421,2.3,2.71,9.8,89.4,28.3,30,0
0.431,3.39,3.83,18,78.5,29.9,29,0
0.431,3.73,4.04,19.4,78.1,29.1,28.9,0
0.431,3.35,3.98,19.1,82,27.5,30.2,0
0.421,2.37,2.89,7.8,87.9,27.7,28.7,0
0.431,3.55,4.1,20.2,83.9,29.3,35.7,0
0.421,2.17,2.94,11.5,77.6,27.7,31.8,0
0.421,2.34,2.93,12.4,82.7,30.7,30.5,0
0.421,2.13,2.41,9.1,87.3,26.1,27.5,0
0.421,2.6,3.21,15.1,88.3,26.1,32.2,0
0.421,2.41,3.04,11,85.2,27,29.2,0
0.421,2.39,2.8,11.9,87.6,24.6,28.2,0
0.431,3.76,4.03,20.8,79.9,28.4,30.8,0
0.421,2.17,2.67,11.9,87.6,26.6,30.8,0
0.421,2.51,3.05,11.8,80.9,29.5,29.2,0
0.415,2.44,2.66,15,86.7,29,26.1,0
0.415,2.93,3.71,13.3,83.2,30,30.4,0
0.493,2.8,3.12,13.3,77.3,29.3,31.1,0
0.415,2.8,3.33,12.9,85.4,29.3,34.4,0
0.425,3.46,3.89,18.1,80.7,30.7,31.6,0
0.425,3.98,4.49,18.8,80,30.8,32.1,0
0.415,2.51,3.13,11.7,83.1,29.2,33.5,0
0.415,2.7,3.5,14.3,78.7,29.2,31.8,0
0.425,3.21,3.61,18.7,81,30.6,28.6,0
0.493,2.68,3.25,13.7,86.4,30.7,32.7,0
0.425,3.66,4.13,20,78.9,28.4,31.8,0
0.425,3.2,3.33,18.1,82.5,32.1,28.3,0
0.415,2.72,3.38,17,79.3,31,29.8,0
0.415,2.05,2.56,5.9,88.2,24.6,28.1,0
0.415,2.4,2.82,14,85.4,25.3,28,0
0.425,3.18,4.01,18.3,76.8,28.8,34.9,0
0.415,2.29,2.99,12,84.4,26.5,30.6,0
0.409,2.57,3.44,13.3,79.5,28.3,30.1,0
0.419,2.93,3.68,16.2,82.9,30.3,31.1,0
0.472,2.56,3.17,12,81.7,29.7,32.1,0
0.409,2.43,3.26,12.2,83.6,26.9,32.9,0
0.409,2.67,3.46,14.2,77.9,30.7,33.1,0
0.409,2.61,3.27,9.5,88.6,29,33.9,0
0.419,3.26,3.66,16.9,75.7,28.4,29.6,0
0.409,2.65,3.07,8.4,88.1,27.7,27.8,0
0.688,2.79,2.4,17.8,84.6,28.1,27.9,0
0.402,2.29,3.2,7.8,79,29.9,31.1,0
0.413,3.53,3.93,20.2,79.1,29.7,28.5,0
0.413,3.6,4,20.1,79.1,30.1,31.1,0
0.393,3.5,3.83,18.9,84.6,33,36.3,0
0.413,3.71,4.19,17.3,79.8,32.9,31.4,0
0.413,3.91,4.46,17.5,76.4,28.4,31.5,0
0.413,3.51,4.06,15.1,76.9,31.2,29.9,0
0.413,3.85,4.56,20.1,72,33.5,30.6,0
0.402,2.77,3.41,10.6,82.3,30.1,30.8,0
0.402,2.29,2.99,14.2,83.3,25.9,29.5,0
0.402,3.12,3.68,13.5,84.3,31.4,35.4,0
0.402,2.52,3.28,15.2,79,28.5,32.9,0
0.402,2.44,3,9.4,85.9,26.5,31.2,0
0.677,3.85,2.79,22.6,85.7,30.2,30.3,0
0.396,2.41,3.13,12.9,79.2,29.9,30.9,0
0.406,3.04,3.94,12.5,80.5,30,29.6,0
0.396,2.3,3.11,15.6,84.4,25.4,30.9,0
0.396,2.5,3.18,9.2,84.1,26.6,30.4,0
0.406,3.09,3.54,15,80.8,28.4,29.9,0
0.396,2.55,3.4,9.4,85,30.2,29.5,0
0.406,3.99,4.23,19.8,81.2,31.5,33.3,0
0.406,3.56,3.95,17.9,83.9,31.3,31.2,0
0.4,3.66,4.6,19.2,76,29.5,33.6,0
0.39,2.95,3.67,16.8,81,29.6,35.7,0
0.457,2.53,2.99,16.6,80,33.2,29.7,0
0.4,3.5,3.85,16.1,77.1,30.3,29.1,0
0.4,3.75,4.44,18.8,81.6,29.8,32.3,0
0.4,3.06,3.83,15,77.2,28.8,30.3,0
0.39,2.73,3.33,9.6,86.6,25.5,30.2,0
0.381,3.11,3.63,16.2,81.1,30.3,34.4,0
0.45,2.57,3.21,14.3,88.8,30,30.6,0
0.656,3.04,2.58,19.7,79.8,30.6,26.9,0
0.384,2.32,3.18,9.3,81,27.1,33,0
0.375,2.7,3.43,12.8,80.8,27.6,30.8,0
0.394,3.35,3.83,21.7,78.5,29.9,28.5,0
0.394,3.25,3.6,16.3,86,28.8,31.2,0
0.394,2.71,3.64,15.9,81.1,27.1,30.8,0
0.394,3.93,4.61,18.1,74,32,30.6,0
0.384,2.48,3.12,9.5,82.6,27.8,28.8,0
0.394,3.41,4.23,14.9,71.5,28.5,31.7,0
0.646,2.65,2.21,13.1,90.2,32.4,28.6,0
0.388,3.24,4.28,12.5,75.5,27.1,34.3,0
0.378,2.57,3.39,11.2,86.1,28.8,29.2,0
0.378,2.51,3.39,15.6,80,28.3,33.1,0
0.388,3.69,4.31,21.3,83.3,29.8,35.1,0
0.378,2.16,2.9,11,86.7,27.8,32,0
